id_offre,titre_poste_original,description_originale
213,Support Quality & Training Officer,"Our mission

We're making Africa the first cashless continent.

In 2017, over half the population in Sub-Saharan Africa had no bank account. That's for good reason—the fees are too high, the closest branch can be miles away, and nobody takes cards. Without access to financial institutions, people are forced to keep their savings under the mattress. Small business owners rely on lenders who charge extortionate rates. Parents spend hours waiting in line to pay school fees in cash.

We're solving this by building financial services that just work: no account fees, instantly available, and accepted everywhere. In places where electricity, water and roads don't always work, you can still send money with Wave. In 2017, we launched a mobile app in Senegal for cash deposit, withdrawal, and peer-to-peer and business payments. Now, we have millions of users across 9 countries and are growing fast.

Our goal is to make Africa the first cashless continent and that's where you come in...

How you'll help us achieve it

We are going through a fascinating period of growth in the Customer Support team and are looking for a Support Quality & Training Officer to join our thrilling journey ahead. Someone who is bordering on obsessive about offering a world-class customer experience and who puts our customers at the heart of everything they do.

In This Role, You'll


Develop customer support training materials like digital presentations, manuals, and instructional videos
Monitor, evaluate, and score inbound calls against established quality assurance instruments and standards
Prepare procedures and policies regarding sales techniques and the appropriate support representatives
Ensures the customer Support Representatives adhere to predetermined quality assurance standards and the business's standard operating procedures
Schedule and conduct training sessions on various customer support topics to prepare and support new employees
Train experienced employees on new or updated customer support procedures to improve performance
Observe the daily operations of the customer support employees and identify any areas of improvement
Liaise with team leaders and managers to conduct on-the-job coaching
Measure the effectiveness of training sessions and prepare individual or team progress reports
Ensure employees keep up their productivity and maintain high levels of customer satisfaction
Uses a quality monitoring data management system to compile and track performance at the team and individual levels
Provide verbal and written feedback to support representatives monthly and as appropriate


Key details


Location: Ouagadougou, Burkina Faso
Contract type: Permanent
Work authorization in Burkina Faso is required
Our salaries are competitive and calculated using a transparent formula.
We offer generous health insurance for yourself and your dependents
We support working parents - we offer generous parental leave policies (26 weeks for mothers and 4 weeks for fathers) and subsidized child care when you return to work
We help you live your fullest life now! We subsidize gym memberships and fitness classes
Airtime reimbursement
Free food and a beautiful office space


Requirements


Fluent in French with intermediate proficiency in English
University degree or relevant experience in customer service
1+ year of experience as a Customer Support Representative
2+ years of experience as a Quality and Training Officer, including monitoring performance and delivering training programs
Proficient in Excel, Microsoft Office Suite, Periscope, and Front


You might be a good fit if you


You can discern priority tasks
Demonstrate tenacity and a willingness to go the distance to get something done
Are comfortable defaulting to over-communication and overreaching when it comes to coordination
Are excessively detail-oriented and seek to achieve excellence in everything they do
Are client-oriented and have strong interpersonal skills
Are tech-savvy
Are available every day of the week, including weekends, if necessary
You have significant experience training large teams


Our team


We have a rapidly growing in-country team in Senegal, Côte d'Ivoire, Mali, Burkina Faso, The Gambia, Uganda, Niger, Sierra Leone, and Cameroon plus remote team members spread across the world.
We're deeply passionate about our mission of bringing radically affordable financial services to the people who need them most.
We foster autonomy for our employees. You'll own your projects at every stage, from understanding the problem to monitoring your solution in production.
We raised the largest Series A in Africa in 2021. Our world-class investors, include Founders Fund, Sequoia Heritage, Stripe, Ribbit Capital, Y Combinator, and Partech Africa.
We are on Y Combinator's top companies by revenue.


How to apply

Fill out the form below, and upload a resume in English and a cover letter describing your interest in Wave and the role.

We review applications frequently and recommend that you apply to the role that most closely aligns with your skills, experience and career goals.

Wave is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
214,Entrepreneur in Residence (EIR),"Base360.ai is building the AI operating system for B2C businesses.

We unify every customer interaction—from social media comments and DMs to WhatsApp, email, SMS and phone calls—into a single platform powered by AI. Our mission is to replace dozens of disconnected tools with one intelligent operating system that helps businesses acquire, engage and convert customers.

We're building ambitious products, moving fast, and looking for exceptional entrepreneurs who want to build the next generation of AI companies from within.

The Role

As an Entrepreneur in Residence (EIR), you won't be joining a department—you'll be building one.

Your mission is to identify a major opportunity, build a new product or business vertical within Base360.ai, assemble the right team, validate the market, and grow it into a standalone business with significant revenue and impact.

Think of it as founding a startup—with the advantage of funding, engineering, design, AI infrastructure, customers, distribution, and executive support already behind you.

If successful, you will become the long-term leader of your venture.

What You'll Do


Identify high-potential opportunities that can become new products or business verticals.
Validate customer problems through research and direct conversations.
Define the product vision, strategy, and go-to-market plan.
Work alongside engineering, product, design and AI teams to build and launch quickly.
Recruit and lead your own multidisciplinary team as the venture grows.
Own growth, product adoption, customer success and financial performance.
Make data-driven decisions and iterate rapidly based on customer feedback.
Present progress directly to the founders and executive team.
Build a business that could eventually operate as its own division—or even become an independent company.


What We're Looking For


Entrepreneurial mindset with a bias toward action.
Exceptional problem-solving ability.
Strong product and commercial intuition.
Comfortable working with ambiguity and creating structure where none exists.
Excellent communication and leadership skills.
Ability to recruit, inspire and lead high-performing teams.
Highly analytical with strong execution capabilities.
Obsession with customers and building products people love.
Comfortable wearing multiple hats across product, sales, marketing and operations.
AI-native and excited about building with the latest AI technologies.


Previous startup experience—as a founder, early employee, product leader, operator or investor—is highly valued but not required.

What Success Looks Like

Within Your First 12–24 Months, You Will Have


Built and launched a new business vertical.
Hired and led your own cross-functional team.
Achieved strong product-market fit.
Generated meaningful recurring revenue.
Established yourself as the long-term General Manager of your venture.


Why Join Base360.ai?


Be part of an innovative and fast-growing company building the AI operating system for B2C brands.
Build your own venture with the backing of an experienced founding team.
Access world-class engineering, AI, product, design and go-to-market resources.
Receive funding, mentorship and strategic support to turn your vision into reality.
Opportunity to build a team and establish a long-term business within Base360.ai.
Competitive salary and performance-based incentives.
Significant long-term career growth, with the opportunity to lead an entire business unit.


You Should NOT Apply If


You are looking for a corporate 9 to 5 job.
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job.
You do not aim to be one of the best in the world at what you do."
215,Entrepreneur in Residence (EIR),"Base360.ai is building the AI operating system for B2C businesses.

We unify every customer interaction—from social media comments and DMs to WhatsApp, email, SMS and phone calls—into a single platform powered by AI. Our mission is to replace dozens of disconnected tools with one intelligent operating system that helps businesses acquire, engage and convert customers.

We're building ambitious products, moving fast, and looking for exceptional entrepreneurs who want to build the next generation of AI companies from within.

The Role

As an Entrepreneur in Residence (EIR), you won't be joining a department—you'll be building one.

Your mission is to identify a major opportunity, build a new product or business vertical within Base360.ai, assemble the right team, validate the market, and grow it into a standalone business with significant revenue and impact.

Think of it as founding a startup—with the advantage of funding, engineering, design, AI infrastructure, customers, distribution, and executive support already behind you.

If successful, you will become the long-term leader of your venture.

What You'll Do


Identify high-potential opportunities that can become new products or business verticals.
Validate customer problems through research and direct conversations.
Define the product vision, strategy, and go-to-market plan.
Work alongside engineering, product, design and AI teams to build and launch quickly.
Recruit and lead your own multidisciplinary team as the venture grows.
Own growth, product adoption, customer success and financial performance.
Make data-driven decisions and iterate rapidly based on customer feedback.
Present progress directly to the founders and executive team.
Build a business that could eventually operate as its own division—or even become an independent company.


What We're Looking For


Entrepreneurial mindset with a bias toward action.
Exceptional problem-solving ability.
Strong product and commercial intuition.
Comfortable working with ambiguity and creating structure where none exists.
Excellent communication and leadership skills.
Ability to recruit, inspire and lead high-performing teams.
Highly analytical with strong execution capabilities.
Obsession with customers and building products people love.
Comfortable wearing multiple hats across product, sales, marketing and operations.
AI-native and excited about building with the latest AI technologies.


Previous startup experience—as a founder, early employee, product leader, operator or investor—is highly valued but not required.

What Success Looks Like

Within Your First 12–24 Months, You Will Have


Built and launched a new business vertical.
Hired and led your own cross-functional team.
Achieved strong product-market fit.
Generated meaningful recurring revenue.
Established yourself as the long-term General Manager of your venture.


Why Join Base360.ai?


Be part of an innovative and fast-growing company building the AI operating system for B2C brands.
Build your own venture with the backing of an experienced founding team.
Access world-class engineering, AI, product, design and go-to-market resources.
Receive funding, mentorship and strategic support to turn your vision into reality.
Opportunity to build a team and establish a long-term business within Base360.ai.
Competitive salary and performance-based incentives.
Significant long-term career growth, with the opportunity to lead an entire business unit.


You Should NOT Apply If


You are looking for a corporate 9 to 5 job.
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job.
You do not aim to be one of the best in the world at what you do."
217,Support Quality & Training Officer,"Our mission

We're making Africa the first cashless continent.

In 2017, over half the population in Sub-Saharan Africa had no bank account. That's for good reason—the fees are too high, the closest branch can be miles away, and nobody takes cards. Without access to financial institutions, people are forced to keep their savings under the mattress. Small business owners rely on lenders who charge extortionate rates. Parents spend hours waiting in line to pay school fees in cash.

We're solving this by building financial services that just work: no account fees, instantly available, and accepted everywhere. In places where electricity, water and roads don't always work, you can still send money with Wave. In 2017, we launched a mobile app in Senegal for cash deposit, withdrawal, and peer-to-peer and business payments. Now, we have millions of users across 9 countries and are growing fast.

Our goal is to make Africa the first cashless continent and that's where you come in...

How you'll help us achieve it

We are going through a fascinating period of growth in the Customer Support team and are looking for a Support Quality & Training Officer to join our thrilling journey ahead. Someone who is bordering on obsessive about offering a world-class customer experience and who puts our customers at the heart of everything they do.

In This Role, You'll


Develop customer support training materials like digital presentations, manuals, and instructional videos
Monitor, evaluate, and score inbound calls against established quality assurance instruments and standards
Prepare procedures and policies regarding sales techniques and the appropriate support representatives
Ensures the customer Support Representatives adhere to predetermined quality assurance standards and the business's standard operating procedures
Schedule and conduct training sessions on various customer support topics to prepare and support new employees
Train experienced employees on new or updated customer support procedures to improve performance
Observe the daily operations of the customer support employees and identify any areas of improvement
Liaise with team leaders and managers to conduct on-the-job coaching
Measure the effectiveness of training sessions and prepare individual or team progress reports
Ensure employees keep up their productivity and maintain high levels of customer satisfaction
Uses a quality monitoring data management system to compile and track performance at the team and individual levels
Provide verbal and written feedback to support representatives monthly and as appropriate


Key details


Location: Ouagadougou, Burkina Faso
Contract type: Permanent
Work authorization in Burkina Faso is required
Our salaries are competitive and calculated using a transparent formula.
We offer generous health insurance for yourself and your dependents
We support working parents - we offer generous parental leave policies (26 weeks for mothers and 4 weeks for fathers) and subsidized child care when you return to work
We help you live your fullest life now! We subsidize gym memberships and fitness classes
Airtime reimbursement
Free food and a beautiful office space


Requirements


Fluent in French with intermediate proficiency in English
University degree or relevant experience in customer service
1+ year of experience as a Customer Support Representative
2+ years of experience as a Quality and Training Officer, including monitoring performance and delivering training programs
Proficient in Excel, Microsoft Office Suite, Periscope, and Front


You might be a good fit if you


You can discern priority tasks
Demonstrate tenacity and a willingness to go the distance to get something done
Are comfortable defaulting to over-communication and overreaching when it comes to coordination
Are excessively detail-oriented and seek to achieve excellence in everything they do
Are client-oriented and have strong interpersonal skills
Are tech-savvy
Are available every day of the week, including weekends, if necessary
You have significant experience training large teams


Our team


We have a rapidly growing in-country team in Senegal, Côte d'Ivoire, Mali, Burkina Faso, The Gambia, Uganda, Niger, Sierra Leone, and Cameroon plus remote team members spread across the world.
We're deeply passionate about our mission of bringing radically affordable financial services to the people who need them most.
We foster autonomy for our employees. You'll own your projects at every stage, from understanding the problem to monitoring your solution in production.
We raised the largest Series A in Africa in 2021. Our world-class investors, include Founders Fund, Sequoia Heritage, Stripe, Ribbit Capital, Y Combinator, and Partech Africa.
We are on Y Combinator's top companies by revenue.


How to apply

Fill out the form below, and upload a resume in English and a cover letter describing your interest in Wave and the role.

We review applications frequently and recommend that you apply to the role that most closely aligns with your skills, experience and career goals.

Wave is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
218,Work-from-Home Customer Support – French Speaking,"""

Some people see customer questions as problems. You see them as opportunities—to connect, to help, and to make someone’s day a little brighter. And you can do it all in both French and English.

We’re looking for a French-English Customer Support Representative to join our global team. You’ll be on the frontlines for our customers in Spanish-speaking regions, answering their questions, guiding them through solutions, and making sure they walk away feeling supported and valued.

In This Role, You Will


Respond to customer inquiries in French and English via chat, email, and calls
Offer step-by-step guidance to resolve technical or order-related issues
Keep accurate records of customer interactions
Share insights from customer feedback to improve our products and processes
Work closely with a friendly, supportive remote team


What You Bring


1+ year of remote/online experience in customer service or a similar role.
Experience with bilingual customer support is an advantage.
Excellent written and verbal communication skills.
Experience with Gorgias, Zendesk, Shopify, or similar tools is a plus.
Calm and solution-focused under pressure.
Familiarity with E-Commerce and CRM systems is a plus.
Fluent in French and English.


What You'll Need to Work From Home


A laptop or desktop with an i5 processor or better
High-speed internet (25 Mbps or faster for both upload and download speed)
A quiet workspace for calls


Why You’ll Love It Here


Fully remote—work from anywhere
Competitive pay with regular reviews
Paid time off for rest and recharge
Monthly health stipend
Bonuses based on performance
A team that values collaboration, growth, and respect


Ready to Join Us?

If you’re ready to put your language skills to work helping people every day, click Apply Now and tell us why you’d be a great fit. We can’t wait to meet you!

"""
234,Auditor,"Job Title: Auditor

Location: Remote

Job Summary: We are seeking a detail-oriented and highly analytical Auditor who will be responsible in examining financial records, internal controls, and operational processes for our client. As an Auditor, you will ensure accuracy, integrity, and compliance while identifying risks and opportunities for improvement across the organization.

Responsibilities


Review and evaluate financial statements, accounting records, and supporting documents for accuracy and compliance.
Conduct internal and external audits in line with approved audit plans and professional standards.
Assess internal control systems and identify weaknesses, risks, and areas for improvement.
Ensure compliance with regulatory requirements, company policies, and industry best practices.
Prepare clear audit reports outlining findings, risks, and actionable recommendations.
Follow up on audit findings to confirm corrective actions are implemented.
Collaborate with finance, operations, and management teams during audit processes.
Support risk management and fraud detection initiatives.
Maintain proper documentation and audit trails for all reviews conducted.


Requirements


Bachelor’s degree in Accounting, Finance, Business Administration, or a related field.
Professional certification, such as ACA, ACCA, CPA, or CIA.
3-5 years of proven experience in auditing, accounting, or financial analysis.
Strong knowledge of auditing standards, financial regulations, and internal controls.
High level of attention to detail with strong analytical and problem-solving skills.
Excellent written and verbal communication skills.
Proficiency in accounting software and Microsoft Excel.
Ability to handle confidential information with integrity and professionalism.
Strong organizational and time-management skills.
Applicants must have a stable high-speed internet connection, a working laptop, and a reliable backup power source to maintain consistent work performance and communication"
219,Work-from-Home Customer Support – French Speaking,"""

Some people see customer questions as problems. You see them as opportunities—to connect, to help, and to make someone’s day a little brighter. And you can do it all in both French and English.

We’re looking for a French-English Customer Support Representative to join our global team. You’ll be on the frontlines for our customers in Spanish-speaking regions, answering their questions, guiding them through solutions, and making sure they walk away feeling supported and valued.

In This Role, You Will


Respond to customer inquiries in French and English via chat, email, and calls
Offer step-by-step guidance to resolve technical or order-related issues
Keep accurate records of customer interactions
Share insights from customer feedback to improve our products and processes
Work closely with a friendly, supportive remote team


What You Bring


1+ year of remote/online experience in customer service or a similar role.
Experience with bilingual customer support is an advantage.
Excellent written and verbal communication skills.
Experience with Gorgias, Zendesk, Shopify, or similar tools is a plus.
Calm and solution-focused under pressure.
Familiarity with E-Commerce and CRM systems is a plus.
Fluent in French and English.


What You'll Need to Work From Home


A laptop or desktop with an i5 processor or better
High-speed internet (25 Mbps or faster for both upload and download speed)
A quiet workspace for calls


Why You’ll Love It Here


Fully remote—work from anywhere
Competitive pay with regular reviews
Paid time off for rest and recharge
Monthly health stipend
Bonuses based on performance
A team that values collaboration, growth, and respect


Ready to Join Us?

If you’re ready to put your language skills to work helping people every day, click Apply Now and tell us why you’d be a great fit. We can’t wait to meet you!

"""
221,Legal Counsel,"Our mission

We're making Africa the first cashless continent.

In 2017, over half the population in Sub-Saharan Africa had no bank account. That's for good reason—the fees are too high, the closest branch can be miles away, and nobody takes cards. Without access to financial institutions, people are forced to keep their savings under the mattress. Small business owners rely on lenders who charge extortionate rates. Parents spend hours waiting in line to pay school fees in cash.

We're solving this by building financial services that just work: no account fees, instantly available, and accepted everywhere. In places where electricity, water and roads don't always work, you can still send money with Wave. In 2017, we launched a mobile app in Senegal for cash deposit, withdrawal, and peer-to-peer and business payments. Now, we have millions of users across 9 countries and are growing fast.

Our goal is to make Africa the first cashless continent and that's where you come in...

How You'll Help Us Achieve It

As a Legal Counsel at Wave, you will play a key role in supporting our Legal Team and contributing to the company's growth and compliance objectives. You will operate in our market in Burkina Faso and Niger.

You will work closely with both operational and functional teams to help them achieve their goals while proactively identifying, assessing, and managing legal risks to ensure full compliance with applicable laws and regulations.

In this role, you will be responsible for providing clear, practical, and business-oriented legal advice and for implementing legal strategies that protect the company's interests and contribute to its overall success.

You will report directly to the Head of Legal.

In This Role, You'll

Contracting


Draft, review, and negotiate contracts across all business areas, ensuring alignment with company objectives and compliance with applicable laws.
Support contract drafting and review for Wave's core products and services, ensuring the protection of the company's commercial and legal interests while optimizing value and efficiency.
Lead and participate in complex, high-value contract negotiations, providing strategic legal input to achieve balanced, sustainable agreements.
Enhance and manage the contracting process, including the implementation of contract policies, contract management systems, electronic signature tools, and document archiving procedures.


Legal Operations


Implement group legal policies and propose updates based on legal developments, operational feedback, and industry best practices (e.g., contract policy, data privacy policy).


Litigation


Develop and apply procedures for managing legal claims and disputes, including pre-litigation strategy, mediation, arbitration, and litigation follow-up.


People Support


Provide legal support for employment matters, including contracts, disciplinary procedures, and terminations.


Company Secretarial


Provide support for the company secretary.


Risk Management


Collaborate with the Risk and Controls teams to identify legal risks and implement appropriate mitigations and internal controls.


Data Privacy & Consumer Protection


Support the rollout and enforcement of the company's data privacy compliance framework.


Regulatory Support


Provide legal advice on licensing and regulatory requirements, working closely with colleagues across the legal and compliance teams.


External Counsel Management


Build and maintain relationships with external law firms and manage legal service delivery.


Special Projects


Contribute to cross-functional legal initiatives and support other legal priorities as they arise.


Key details


Location: You'll work from our office in Burkina Faso.
This is a permanent position.
Our salaries are competitive and calculated using a transparent formula.
We offer generous health insurance for yourself and your dependents.
We support working parents - we offer generous parental leave policies (26 weeks for mothers and 4 weeks for fathers) and subsidized child care when you return to work.
We help you live your fullest life now - we subsidize gym memberships and fitness classes.
Airtime reimbursement.


Requirements


Master's degree in Law or equivalent.
3–5 years of professional legal experience, ideally within a dynamic corporate or regulatory environment.
Fluency in both written and spoken French and English.
Proven experience in corporate governance, including planning and preparing for board and shareholder meetings.
Strong knowledge of general legal and regulatory requirements applicable to corporate and commercial activities.
An experience in a law firm, Financial / Telco sector.


You might be a good fit if you


Efficiently and quickly apply instructions from your lead, and proactively identify and report problems or blockers.
Excel in both teamwork and independent work.
Are proficient in drafting and reviewing contracts in English and French.
Demonstrate tenacity and a commitment to completing tasks.
Possess a strong analytical approach to problem-solving.
Are highly organized and detail-oriented, with a clear and accurate legal approach.
Have excellent writing, listening, and communication skills, consistently striving for excellence in all endeavors.


Our team


We have a rapidly growing in-country team in Senegal, Côte d'Ivoire, Mali, Burkina Faso, The Gambia, Uganda, Niger, Sierra Leone, and Cameroon plus remote team members spread across the world.
We're deeply passionate about our mission of bringing radically affordable financial services to the people who need them most.
We foster autonomy for our employees. You'll own your projects at every stage, from understanding the problem to monitoring your solution in production.
We raised the largest Series A in Africa in 2021. Our world-class investors, include Founders Fund, Sequoia Heritage, Stripe, Ribbit Capital, Y Combinator, and Partech Africa.
We are on Y Combinator's top companies by revenue.


How to apply

Fill out the form below, and upload a resume in English and a cover letter describing your interest in Wave and the role.

We review applications frequently and recommend that you apply to the role that most closely aligns with your skills, experience and career goals.

Wave is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
223,High School Culinary Arts Teacher,"Skip to content

MISTAFF – MASSP

Michigan Education Job Postings


Home
Job Search
Post a Job
MASSP.com
K-12 Alternative Certification
Events


MISTAFF.com Is a Collaborative Effort Of The Following Organizations

Michigan Association of Intermediate School Administrators, Michigan Association of Superintendents & Administrators, Michigan Association of School Boards, Michigan Association of Secondary School Principals, Michigan Elementary and Middle School Principals Association, Michigan School Public Relations Association

Report an issue with the site"
224,Senior Training and Capacity Development Expert,"Senior Training and Capacity Development Expert




NTU International is preparing a proposal for the EU-funded project “Technical Assistance to ECOWAS in Transport Governance”, which aims to strengthen sustainable, smart, resilient and safe mobility systems across the ECOWAS region in West Africa. The project will support ECOWAS institutions, Member States, and regional stakeholders in improving transport governance, corridor management, infrastructure planning, climate resilience, and regional connectivity.

The Technical Assistance will support institutional capacity development, professional training programmes, knowledge transfer, and strengthening of technical competencies across transport governance institutions and stakeholders in the ECOWAS region.

NTU International is seeking a Senior Training and Capacity Development Expert to support training programmes, institutional learning initiatives, and technical capacity-building activities across West Africa.




Key Responsibilities

Support the design and implementation of training and capacity development programmes related to transport governance and regional integration;
Conduct training needs assessments and institutional capacity analyses for ECOWAS institutions and Member States;
Develop training curricula, learning materials, toolkits, manuals, and knowledge products;
Support Training of Trainers (ToT) programmes and institutional learning initiatives;
Advise on adult learning methodologies, knowledge transfer approaches, and capacity development strategies;
Support organisation and delivery of workshops, seminars, study visits, and technical learning events;
Contribute to the development of e-learning tools, digital training platforms, and blended learning approaches;
Coordinate with ECOWAS institutions, training centres, universities, development partners, and regional stakeholders;
Promote inclusion of gender equality, youth participation, disability inclusion, and sustainability considerations in training activities;
Contribute to monitoring, reporting, and evaluation of training and capacity-building initiatives.




Education

Master’s degree in education, organisational development, public administration, transport, human resource development, or another relevant field.




General Professional Experience

Minimum 10 years of professional experience in training, institutional capacity development, organisational learning, or technical assistance programmes;
Proven experience working on development or infrastructure sector projects in developing countries, preferably in Sub-Saharan Africa;
Experience in international development cooperation and donor-funded programmes.




Specific Professional Experience

Minimum 7 years of experience in designing and implementing training and capacity-building programmes;
Demonstrated experience with curriculum development, Training of Trainers (ToT), adult learning methodologies, or institutional strengthening initiatives;
Experience related to transport governance, infrastructure, logistics, regional integration, or public sector capacity-building programmes is considered an advantage;
Experience supporting EU-funded, World Bank-funded, AfDB-funded, or other donor-funded programmes is considered a strong asset;
Experience working with public institutions, regional organisations, universities, or training centres is considered an advantage;
Experience with digital learning systems, knowledge management, or e-learning platforms is considered an asset.




Languages

English or French (C1 mandatory);
Working knowledge of the other language is considered an asset.




Please note that inclusion in the expert pool does not guarantee immediate assignment. Experts will be contacted based on project requirements and matching qualifications. Only shortlisted candidates will be contacted."
236,Growth Marketer,"Our vision

Every B2C brand in the world is drowning in scattered tools, missed messages, and manual work. We're building the one system that runs it all — every conversation, every channel, every lead, powered by AI. Base360 is on a mission to become the operating system that B2C brands everywhere run their business on. We're early, we're moving fast, and we're looking for people who want to help build something huge from the ground up.

About The Role

We're looking for Growth Marketers to help Base360 reach the B2C brands who need us — and turn attention into signups, leads, and customers. We're channel-agnostic about how you do it: you might go deep and own a single channel, or stay broad and run across several. Paid ads, SEO, outbound, content, lifecycle, funnels — wherever your instincts pull you, we want people who can find what works and make it grow.

This is a hands-on, entrepreneurial role. You won't be one cog in a giant machine — you'll be trusted to experiment, learn fast, and build the growth engine as you go.

What You'll Do


Own a growth channel end to end — or run across several — setting the strategy, running the campaigns, and answering for the results.
Generate leads and drive signups — build and run the motions that fill the pipeline, from paid and SEO to outbound and referral.
Run experiments fast — test hooks, audiences, funnels, and offers; kill what doesn't work and scale what does.
Use AI everywhere it gives you an edge — for research, copy, targeting, automation, and speed.
Build funnels and landing pages that convert, and obsess over the numbers behind every step.
Work closely with the founder on positioning, messaging, and where to point the growth firepower next.
Track everything — you live in the data and can tell a clear story about what's working and why.


Who You Are


You're a fast learner above all — you may specialise in one growth channel or be a generalist across many, but either way you pick up new skills quickly and love figuring things out.
You're hungry to get great at growth — you don't need to be an expert yet, but you're determined to become one of the best.
You're AI-savvy and use modern tools to work faster and smarter than a traditional marketer.
You're scrappy and self-directed — you take a goal and figure out the how, without waiting to be told.
You're analytical — comfortable with data, attribution, and turning insight into action.
Bonus: any hands-on experience with paid, SEO, outbound, content, lifecycle, or marketing to B2C brands and startups.


Why Join Base360.ai?


Be part of an innovative and fast-growing company building the AI operating system for B2C brands.
Opportunity to build a team and establish a long-term presence in one of Europe's most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.


You Should NOT Apply If


You are looking for a corporate 9 to 5 job.
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job.
You do not aim to be one of the best in the world at what you do."
237,Growth Marketer,"Our vision

Every B2C brand in the world is drowning in scattered tools, missed messages, and manual work. We're building the one system that runs it all — every conversation, every channel, every lead, powered by AI. Base360 is on a mission to become the operating system that B2C brands everywhere run their business on. We're early, we're moving fast, and we're looking for people who want to help build something huge from the ground up.

About The Role

We're looking for Growth Marketers to help Base360 reach the B2C brands who need us — and turn attention into signups, leads, and customers. We're channel-agnostic about how you do it: you might go deep and own a single channel, or stay broad and run across several. Paid ads, SEO, outbound, content, lifecycle, funnels — wherever your instincts pull you, we want people who can find what works and make it grow.

This is a hands-on, entrepreneurial role. You won't be one cog in a giant machine — you'll be trusted to experiment, learn fast, and build the growth engine as you go.

What You'll Do


Own a growth channel end to end — or run across several — setting the strategy, running the campaigns, and answering for the results.
Generate leads and drive signups — build and run the motions that fill the pipeline, from paid and SEO to outbound and referral.
Run experiments fast — test hooks, audiences, funnels, and offers; kill what doesn't work and scale what does.
Use AI everywhere it gives you an edge — for research, copy, targeting, automation, and speed.
Build funnels and landing pages that convert, and obsess over the numbers behind every step.
Work closely with the founder on positioning, messaging, and where to point the growth firepower next.
Track everything — you live in the data and can tell a clear story about what's working and why.


Who You Are


You're a fast learner above all — you may specialise in one growth channel or be a generalist across many, but either way you pick up new skills quickly and love figuring things out.
You're hungry to get great at growth — you don't need to be an expert yet, but you're determined to become one of the best.
You're AI-savvy and use modern tools to work faster and smarter than a traditional marketer.
You're scrappy and self-directed — you take a goal and figure out the how, without waiting to be told.
You're analytical — comfortable with data, attribution, and turning insight into action.
Bonus: any hands-on experience with paid, SEO, outbound, content, lifecycle, or marketing to B2C brands and startups.


Why Join Base360.ai?


Be part of an innovative and fast-growing company building the AI operating system for B2C brands.
Opportunity to build a team and establish a long-term presence in one of Europe's most vibrant cities.
Competitive salary and performance-based incentives.
A chance to grow professionally in a hands-on, entrepreneurial role.


You Should NOT Apply If


You are looking for a corporate 9 to 5 job.
You are political and enjoy gossiping and talking about people behind their backs.
You are looking for a stable and slow dead-end job.
You do not aim to be one of the best in the world at what you do."
